Desa,URL,lonngitude,latitude,Kecamatan,Kabupaten/Kota,Provinsi
BUNINAGARA,buninagara.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
PADASUKA,padasuka.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
SUKAMULYA,sukamulya.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
KUTAWARINGIN,kutawaringin.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
KOPO,kopo.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
CIBODAS,cibodas-kutawaringin.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
JATISARI,jatisari-kutawaringin.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
JELEGONG,jelegong-kutawaringin.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
GAJAHMEKAR,gajahmekar.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
PAMEUNTASAN,pameuntasan.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
NANJUNG,nanjung.desa.id,107.543869,-6.954384,Margaasih,Bandung,Jawa Barat
MEKAR RAHAYU,mekarrahayu.desa.id,107.558185,-6.975428,Margaasih,Bandung,Jawa Barat
RAHAYU,rahayu.desa.id,107.565995,-6.962049,Margaasih,Bandung,Jawa Barat
CIGONDEWAH HILIR,cigondewahhilir.desa.id,107.558666,-6.957755,Margaasih,Bandung,Jawa Barat
MARGAASIH,margaasih.desa.id,107.554805,-6.944483,Margaasih,Bandung,Jawa Barat
LAGADAR,lagadar.desa.id,107.541564,-6.933812,Margaasih,Bandung,Jawa Barat
SUKAMENAK,sukamenak.desa.id,107.585029,-6.975129,Margahayu,Bandung,Jawa Barat
SAYATI,sayati.desa.id,107.57883,-6.974401,Margahayu,Bandung,Jawa Barat
MARGAHAYU SELATAN,margahayuselatan.desa.id,107.57302,-6.978427,Margahayu,Bandung,Jawa Barat
MARGAHAYU TENGAH,margahayutengah.desa.id,107.5685216,-6.9599938,Margahayu,Bandung,Jawa Barat
